Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand
Mumbai,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75,15,Maruti
Pune,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,10,Hyundai
Chennai,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5,14,Honda
Chennai,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,13,Maruti
Coimbatore,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,12,Audi
Hyderabad,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35,13,Hyundai
Jaipur,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,12,Nissan
Mumbai,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,9,Toyota
Pune,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,12,Volkswagen
Chennai,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,13,Tata
Kochi,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,7,Maruti
Kolkata,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,13,Honda
Jaipur,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,10,Maruti
Pune,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,13,Land
Delhi,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,11,Mitsubishi
Kochi,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,9,Honda
Jaipur,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,8,Maruti
Kochi,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,11,Renault
Kochi,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,11,BMW
Bangalore,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,10,Maruti
Kolkata,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,15,Hyundai
Kolkata,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,15,Volkswagen
Mumbai,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,13,Honda
Hyderabad,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25,13,Nissan
Hyderabad,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,12,Maruti
Kochi,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,7,Honda
Bangalore,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,12,Renault
Delhi,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,13,Toyota
Bangalore,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,12,Mahindra
Kolkata,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,15,Audi
Coimbatore,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,11,Volkswagen
Jaipur,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,16,Maruti
Kochi,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,7,Maruti
Delhi,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,8,Mahindra
Chennai,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,12,Volkswagen
Delhi,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,17,Maruti
Kochi,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,11,Tata
Coimbatore,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,8,Mahindra
Kochi,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,11,Hyundai
Bangalore,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,11,Hyundai
Mumbai,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,9,Toyota
Ahmedabad,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,17,Hyundai
Bangalore,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,13,Toyota
Jaipur,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,11,Hyundai
Jaipur,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,13,Mahindra
Delhi,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,11,Maruti
Kolkata,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,11,Maruti
Delhi,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,12,Maruti
Chennai,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,10,Hyundai
Kolkata,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,10,Volkswagen
Kochi,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,8,Renault
Kolkata,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,15,Hyundai
Hyderabad,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,15,Nissan
Hyderabad,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,15,Maruti
Mumbai,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,8,Toyota
Bangalore,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,15,Ford
Pune,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,14,Mercedes-Benz
Jaipur,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,13,Audi
Mumbai,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,18,Honda
Pune,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,9,Maruti
Mumbai,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,7,Hyundai
Mumbai,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,17,Porsche
Mumbai,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,10,Mahindra
Kochi,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,13,Hyundai
Kochi,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,10,Nissan
Coimbatore,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,9,Honda
Jaipur,111111,Diesel,Manual,First,17.8,1399.0,,5.0,2.0,17,Ford
Hyderabad,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,13,Toyota
Hyderabad,87591,Petrol,Manual,First,0.0,1086.0,,5.0,1.3,20,Hyundai
Jaipur,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,13,Maruti
Pune,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,8,Tata
